rank,company_id,company_name,broad_sector,year,return_on_equity_pct,roe_score,net_profit_margin_pct,npm_score,debt_to_equity,de_score,revenue_cagr_5yr,growth_score,interest_coverage,icr_score,composite_score,quality_rating
85,JIOFIN,Jio Financial Services Ltd,Unknown,2024,1.1703027474771044,5,86.52291105121293,20,0.0,20,,0,198.8,15,60,Average
86,GRASIM,Grasim Industries Ltd,Unknown,2024,10.682537290944703,12,7.578371940325857,10,1.7021352159969005,10,11.15172597339149,15,3.015845639754231,12,59,Average
87,UNIONBANK,UNIONBANK,Unknown,2024,14.136560175413432,12,13.745317605802185,15,12.823705403799257,5,23.945769366938308,20,0.35356038128906003,3,55,Average
88,KOTAKBANK,Kotak Mahindra Bank Ltd,Unknown,2024,14.013018188532914,12,32.386151466116615,20,4.003739266919029,5,13.51960376324537,15,1.2363751084470385,3,55,Average
89,TECHM,Tech Mahindra Ltd,Unknown,2024,9.063752552370868,5,4.60996999769213,5,0.07694925508583529,20,8.398437919098868,10,13.85969387755102,15,55,Average
90,HINDALCO,Hindalco Industries Ltd,Unknown,2024,8.816941029381121,5,4.702216130615571,5,0.5292682503299299,15,10.592433818985914,15,126.46543778801843,15,55,Average
91,ADANIENSOL,Adani Energy Solutions Ltd,Unknown,2024,5.69930903025971,5,7.201782380923707,10,1.8588992137240887,10,17.85124994851739,20,2.284784965666787,8,53,Average
92,MOTHERSON,Samvardhana Motherson International Ltd,Unknown,2024,9.254152111294967,5,3.0600251286831757,5,0.7788502788502788,15,9.21195713294276,10,5.224737713970182,15,50,Average
93,VBL,VBL,Unknown,2023,,0,13.102287602069437,15,,0,25.735515711694568,20,12.712328767123287,15,50,Average
94,ADANIENT,Adani Enterprises Ltd,Unknown,2024,7.960187130036281,5,3.458790097592848,5,1.91968206988734,10,19.015414753081238,20,2.7492864983534577,8,48,Weak
95,GODREJCP,Godrej Consumer Products Ltd,Unknown,2024,-4.609695973705834,5,-3.9798524404086266,5,0.314543960558751,20,6.447080048592069,10,2.412903225806452,8,48,Weak
96,BHARTIARTL,Bharti Airtel Ltd,Unknown,2024,9.825713564031322,5,5.706018055499993,10,2.5895083698822017,5,13.17410230151459,15,3.3055457435535147,12,47,Weak
97,JSWENERGY,JSW Energy Ltd,Unknown,2024,6.167101640985306,5,15.018283127285393,15,1.1030352865467805,10,4.6799560539164675,5,2.8514369215781783,8,43,Weak
98,BHEL,Bharat Heavy Electricals Limited,Unknown,2024,1.165337410636803,5,1.180262001423011,5,0.3772056696557709,20,-4.728642461606237,5,1.5929951690821256,8,43,Weak
99,TATASTEEL,Tata Steel Ltd,Unknown,2024,-5.44665934529158,5,-2.1425049417247384,5,1.1025547161857854,10,7.766224835881497,10,2.1634256792754396,8,38,Weak
100,SBIN,State Bank of India,Unknown,2024,,0,15.83441297482405,15,,0,11.63380022632805,15,0.3660986540179259,3,33,Weak
